fuel_type,salt_type,U235F4_mole_frac,UF4_mole_frac,pitch,Tave_fuel,mod_salt_ratio,k_inf,conversion_ratio,fast_flux_graph,feedback_doppler,labels
1.0,1.0,14.0,10.0,12.25,1000.0,0.274,1.12622,0.585318,33.8195,-5.74,19
1.0,2.0,14.0,10.0,12.25,1000.0,0.274,1.10081,0.593346,35.3038,-2.08,8
1.0,3.0,14.0,10.0,12.25,1000.0,0.274,1.0491,0.690187,15.8711,-1.38,1
1.0,1.0,14.0,10.0,16.0,1000.0,0.274,1.16807,0.54511,43.4686,-2.43,19
1.0,2.0,14.0,10.0,16.0,1000.0,0.274,1.14009,0.554597,44.1634,-3.41,8
2.0,3.0,5.0,90.0,8.5,900.0,5.367,0.571972,1.79295,64.811,0.0,3
1.0,3.0,14.0,10.0,16.0,1000.0,0.274,1.05104,0.690662,16.0452,-2.71,1
1.0,1.0,14.0,10.0,1.0,1000.0,2.8205,1.03539,0.655206,44.8466,-3.49,13
1.0,2.0,14.0,10.0,1.0,1000.0,2.8205,1.0079,0.679157,39.0114,-3.55,8
1.0,3.0,14.0,10.0,1.0,1000.0,2.8205,1.03659,0.664273,40.7732,-6.52,1
1.0,1.0,14.0,10.0,4.75,1000.0,2.8205,1.1443,0.555894,48.8321,-4.72,13
1.0,2.0,14.0,10.0,4.75,1000.0,2.8205,1.10384,0.581917,43.658,1.04,8
1.0,3.0,14.0,10.0,4.75,1000.0,2.8205,1.04166,0.630622,43.3131,-3.99,1
1.0,1.0,14.0,10.0,8.5,1000.0,2.8205,1.21392,0.496564,57.8748,-8.0,13
1.0,2.0,14.0,10.0,8.5,1000.0,2.8205,1.17687,0.510294,56.0896,-2.06,8
1.0,3.0,14.0,10.0,8.5,1000.0,2.8205,1.05672,0.607433,42.7942,-3.71,1
2.0,1.0,5.0,90.0,12.25,900.0,5.367,1.01326,0.885338,89.3808,0.0,16
1.0,1.0,14.0,10.0,12.25,1000.0,2.8205,1.27124,0.447443,68.2004,7.18,19
1.0,2.0,14.0,10.0,12.25,1000.0,2.8205,1.231,0.457652,66.8656,4.6,8
1.0,3.0,14.0,10.0,12.25,1000.0,2.8205,1.0659,0.603531,43.0377,-0.81,1
1.0,1.0,14.0,10.0,16.0,1000.0,2.8205,1.29273,0.421005,72.8766,-2.19,19
1.0,2.0,14.0,10.0,16.0,1000.0,2.8205,1.25449,0.436904,72.1324,1.27,8
1.0,3.0,14.0,10.0,16.0,1000.0,2.8205,1.0679,0.60678,41.9784,-0.64,1
1.0,1.0,14.0,10.0,1.0,1000.0,5.367,1.06334,0.61378,66.4345,-2.59,13
1.0,2.0,14.0,10.0,1.0,1000.0,5.367,1.02745,0.643433,58.6834,-2.03,8
1.0,3.0,14.0,10.0,1.0,1000.0,5.367,1.02665,0.623693,59.8926,-5.89,3
1.0,1.0,14.0,10.0,4.75,1000.0,5.367,1.2258,0.476901,69.675,-3.03,13
2.0,2.0,5.0,90.0,12.25,900.0,5.367,0.936865,0.952138,90.3781,0.0,2
1.0,2.0,14.0,10.0,4.75,1000.0,5.367,1.17169,0.509035,63.1465,2.14,8
1.0,3.0,14.0,10.0,4.75,1000.0,5.367,1.04927,0.571001,63.9111,-3.02,3
1.0,1.0,14.0,10.0,8.5,1000.0,5.367,1.29103,0.431059,75.5483,-2.76,13
1.0,2.0,14.0,10.0,8.5,1000.0,5.367,1.24194,0.445153,72.0995,0.3,8
1.0,3.0,14.0,10.0,8.5,1000.0,5.367,1.0697,0.539886,63.3712,-1.67,3
1.0,1.0,14.0,10.0,12.25,1000.0,5.367,1.32712,0.395651,81.3729,2.38,19
1.0,2.0,14.0,10.0,12.25,1000.0,5.367,1.27971,0.414031,79.5785,-5.88,8
1.0,3.0,14.0,10.0,12.25,1000.0,5.367,1.07618,0.556081,58.0627,-0.88,1
1.0,1.0,14.0,10.0,16.0,1000.0,5.367,1.32921,0.38666,82.6239,-2.22,19
1.0,2.0,14.0,10.0,16.0,1000.0,5.367,1.29128,0.398585,82.0799,1.5,8
2.0,3.0,5.0,90.0,12.25,900.0,5.367,0.577727,1.74553,64.1802,0.0,3
